BaRT_ID;HORVU_ID
BaRT2v18chr4HG216550;HORVU.MOREX.r3.4HG0412170
BaRT2v18chr4HG216870;HORVU.MOREX.r3.4HG0412610
BaRT2v18chr4HG217470;HORVU.MOREX.r3.4HG0413650
BaRT2v18chr4HG218880;HORVU.MOREX.r3.4HG0415770
BaRT2v18chr5HG223270;HORVU.MOREX.r3.5HG0425010
BaRT2v18chr5HG224040;HORVU.MOREX.r3.5HG0427160
BaRT2v18chr5HG224420;HORVU.MOREX.r3.5HG0428020
BaRT2v18chr5HG229190;HORVU.MOREX.r3.5HG0440320
BaRT2v18chr5HG229650;HORVU.MOREX.r3.5HG0441230
BaRT2v18chr5HG230080;HORVU.MOREX.r3.5HG0442260
BaRT2v18chr5HG230370;HORVU.MOREX.r3.5HG0443000
BaRT2v18chr5HG230370;HORVU.MOREX.r3.5HG0443000
BaRT2v18chr5HG232460;HORVU.MOREX.r3.5HG0447150
BaRT2v18chr5HG234210;HORVU.MOREX.r3.5HG0451540
BaRT2v18chr5HG235520;HORVU.MOREX.r3.5HG0455100
BaRT2v18chr5HG235630;HORVU.MOREX.r3.5HG0457110
BaRT2v18chr5HG236850;HORVU.MOREX.r3.5HG0462370
BaRT2v18chr5HG239780;HORVU.MOREX.r3.5HG0464810
BaRT2v18chr5HG242070;HORVU.MOREX.r3.5HG0469310
BaRT2v18chr5HG242490;HORVU.MOREX.r3.5HG0470230
BaRT2v18chr5HG242500;HORVU.MOREX.r3.5HG0470270
BaRT2v18chr5HG243420;HORVU.MOREX.r3.5HG0471790
BaRT2v18chr5HG243420;HORVU.MOREX.r3.5HG0471790
BaRT2v18chr5HG244560;HORVU.MOREX.r3.5HG0474540
BaRT2v18chr5HG246210;HORVU.MOREX.r3.5HG0478010
BaRT2v18chr5HG246210;HORVU.MOREX.r3.5HG0478010
BaRT2v18chr5HG250670;HORVU.MOREX.r3.5HG0485780
BaRT2v18chr5HG252520;HORVU.MOREX.r3.5HG0488480
BaRT2v18chr5HG253190;HORVU.MOREX.r3.5HG0489830
BaRT2v18chr5HG253350;HORVU.MOREX.r3.5HG0490210
BaRT2v18chr5HG258900;HORVU.MOREX.r3.5HG0498830
BaRT2v18chr5HG259040;HORVU.MOREX.r3.5HG0499120
BaRT2v18chr5HG262470;HORVU.MOREX.r3.5HG0505100
BaRT2v18chr5HG262690;HORVU.MOREX.r3.5HG0505470
BaRT2v18chr5HG263770;HORVU.MOREX.r3.5HG0507920
BaRT2v18chr5HG263870;HORVU.MOREX.r3.5HG0508050
BaRT2v18chr5HG264740;HORVU.MOREX.r3.5HG0509500
BaRT2v18chr5HG265570;HORVU.MOREX.r3.5HG0510590
BaRT2v18chr5HG266050;HORVU.MOREX.r3.5HG0511480
BaRT2v18chr5HG268340;HORVU.MOREX.r3.5HG0514790
BaRT2v18chr5HG268620;HORVU.MOREX.r3.5HG0515330
BaRT2v18chr5HG270320;HORVU.MOREX.r3.5HG0518160
BaRT2v18chr5HG271420;HORVU.MOREX.r3.5HG0520260
BaRT2v18chr5HG272230;HORVU.MOREX.r3.5HG0521950
BaRT2v18chr5HG272900;HORVU.MOREX.r3.5HG0522770
BaRT2v18chr5HG274070;HORVU.MOREX.r3.5HG0524730
BaRT2v18chr5HG275710;HORVU.MOREX.r3.5HG0527400
BaRT2v18chr5HG279380;HORVU.MOREX.r3.5HG0534280
BaRT2v18chr5HG280990;HORVU.MOREX.r3.5HG0537010
BaRT2v18chr5HG281210;HORVU.MOREX.r3.5HG0537360
BaRT2v18chr5HG281800;HORVU.MOREX.r3.5HG0538190
BaRT2v18chr6HG284130;HORVU.MOREX.r3.6HG0540880
BaRT2v18chr6HG286070;HORVU.MOREX.r3.6HG0546280
BaRT2v18chr6HG286670;HORVU.MOREX.r3.6HG0547410
BaRT2v18chr6HG288410;HORVU.MOREX.r3.6HG0550650
BaRT2v18chr6HG291490;HORVU.MOREX.r3.6HG0557160
BaRT2v18chr6HG293050;HORVU.MOREX.r3.6HG0560910
BaRT2v18chr6HG295490;HORVU.MOREX.r3.6HG0568530
BaRT2v18chr6HG295750;HORVU.MOREX.r3.6HG0568820
BaRT2v18chr6HG297200;HORVU.MOREX.r3.6HG0571810
BaRT2v18chr6HG297690;HORVU.MOREX.r3.6HG0572930
BaRT2v18chr6HG298260;HORVU.MOREX.r3.6HG0573810
BaRT2v18chr6HG299490;HORVU.MOREX.r3.6HG0577180
BaRT2v18chr6HG304400;HORVU.MOREX.r3.6HG0589730
BaRT2v18chr6HG304500;HORVU.MOREX.r3.6HG0589890
BaRT2v18chr6HG304520;HORVU.MOREX.r3.6HG0589920
BaRT2v18chr6HG304520;HORVU.MOREX.r3.6HG0589920
BaRT2v18chr6HG307330;HORVU.MOREX.r3.6HG0596310
BaRT2v18chr6HG310850;HORVU.MOREX.r3.6HG0603150
BaRT2v18chr6HG311380;HORVU.MOREX.r3.6HG0604260
BaRT2v18chr6HG312850;HORVU.MOREX.r3.6HG0607130
BaRT2v18chr6HG314240;HORVU.MOREX.r3.6HG0609730
BaRT2v18chr6HG314840;HORVU.MOREX.r3.6HG0611050
BaRT2v18chr6HG317560;HORVU.MOREX.r3.6HG0615790
BaRT2v18chr6HG318990;HORVU.MOREX.r3.6HG0617850
BaRT2v18chr6HG320240;HORVU.MOREX.r3.6HG0619820
BaRT2v18chr6HG320720;HORVU.MOREX.r3.6HG0620630
BaRT2v18chr6HG320860;HORVU.MOREX.r3.6HG0620920
